Dots, Delay
9 ,.1 
2;8 ,3 
1;2;3 ,3 
3;7 ,.1 
2;7;9 ,.1 
7;9 ,3 
4;5;6 ,.1 
2;6 ,.1 
1;2;8 ,3 
1;5;7 ,.1 
4 ,3 
4;7 ,.1 
4;9 ,3 
2 ,.1 
1;3;6 ,.1 
5 ,3 
2;4;7 ,.1 
6 ,3 
2;7 ,3 
8 ,.1 
2;4;9 ,3 
1;2 ,.1 
5;6 ,3 
1;5;8 ,.1 
6;9 ,.1 
3 ,3 
4;6;8 ,3 
4;9 ,.1 
4;6;7 ,.1 
2;6 ,3 
5 ,.1 
2 ,3 
1;4 ,.1 
2;6;7 ,3 
1;3;5 ,.1 
8 ,3 
3;5 ,.1 
7 ,3 
3;4;8 ,.1 
3 ,.1 
3;7;9 ,3 
1;3 ,.1 
3;4 ,3 
2;8;9 ,3 
1 ,.1 
1 ,3 
3;5 ,3 
4 ,.1 
9 ,3 
5;6;9 ,.1 
7 ,.1 
7;8;9 ,3 
2;5 ,.1 
3;6;7 ,3 
1;6 ,3 
8 ,.1 
5;6 ,3 
5 ,3 
5 ,.1 
3;6;9 ,3 
