Side,Color
r ,yellow 
r ,purple 
l ,purple 
l ,yellow 
l ,purple 
r ,yellow 
r ,purple 
l ,purple 
r ,yellow 
l ,purple 
l ,yellow 
r ,purple 
l ,yellow 
r ,yellow 
r ,purple 
r ,yellow 
l ,yellow 
r ,purple 
l ,yellow 
l ,purple 
r ,yellow 
r ,purple 
l ,purple 
l ,yellow 
r ,purple 
l ,purple 
r ,yellow 
r ,yellow 
l ,purple 
l ,purple 
l ,yellow 
l ,yellow 
r ,purple 
r ,yellow 
r ,purple 
l ,yellow 
l ,yellow 
r ,purple 
r ,yellow 
l ,yellow 
r ,purple 
r ,yellow 
l ,yellow 
l ,purple 
l ,yellow 
r ,purple 
r ,yellow 
r ,purple 
l ,purple 
r ,yellow 
l ,purple 
r ,yellow 
r ,purple 
l ,purple 
l ,yellow 
l ,yellow 
l ,purple 
r ,purple 
r ,yellow 
l ,purple
